730551.3175	3632207.756	37.87	34.73
730551.7964	3632211.677	39.96	36.5
730552.9661	3632223.008	40.76	36.38
730553.5358	3632229.066	42.34	37.78
730556.9537	3632232.663	38.88	35.44
730563.4759	3632233.545	39.12	36.05
730568.6038	3632232.032	40.53	37.19
730570.2498	3632226.894	39.82	36.26
730569.3378	3632219.752	40.71	36.17
730568.2632	3632211.94	43.72	38.95
730567.5361	3632203.911	40.99	37.19
730566.6556	3632195.853	36.56	33.18
730565.802	3632187.902	37.12	33.64
730564.9919	3632180.1	39.81	36.57
730564.0575	3632172.275	37.86	34.89
730563.0675	3632164.383	39.85	36.47
730562.2032	3632156.532	42.12	37.51
730561.3216	3632148.671	34.85	31.15
730560.3958	3632140.76	31.97	29.16
730559.5323	3632132.78	36.04	32.67
730558.5522	3632124.771	48.58	42.47
730557.7415	3632116.887	58.64	49.22
730557.0059	3632109	49.02	42.75
730556.2805	3632101.193	32.87	30.46
730555.4463	3632093.406	33.14	30.95
730554.4525	3632085.619	33.77	31.58
730553.4003	3632077.731	31.66	29.82
730552.5056	3632069.834	30.02	27.94
730551.6463	3632061.965	26.69	25.05
730550.7171	3632054.012	25.01	23.56
730549.6558	3632046.058	26.43	25.06
730548.8833	3632038.097	27.05	25.8
730548.0182	3632030.113	28.47	27.4
730547.0818	3632022.218	29.19	26.92
730546.1849	3632014.282	28.15	26.74
730545.3714	3632006.328	29.38	27.73
730544.6783	3631998.215	33.06	30.87
730543.6951	3631990.068	42.07	39.06
730542.6539	3631981.87	42.08	38.93
730541.7139	3631973.7	40.06	36.63
730540.7725	3631965.666	43.98	39.48
730539.9221	3631957.691	36.92	33.51
730538.8931	3631949.673	29.62	26.47
730538.0655	3631941.557	32.99	30.13
730537.0844	3631933.497	26.04	23.28
730536.0832	3631925.464	24.31	22.86
730535.2525	3631917.377	25.75	24.19
730534.2975	3631909.245	25.43	23.74
730533.3385	3631900.918	26.22	24.73
730532.4549	3631892.566	29.67	27.69
730531.5102	3631884.569	30.34	28.57
730530.5914	3631876.836	28.01	26.21
730529.4432	3631869.126	32.29	31.03
730528.5127	3631861.518	26.51	24.77
730527.5893	3631853.961	19.87	18.41
730526.6888	3631846.872	20.04	17.87
730526.4227	3631840.808	25.14	22.86
730527.1156	3631838.232	28.99	26.39
730534.9607	3631834.397	33.97	32.85
730541.5608	3631835.514	30.98	29.89
730546.5508	3631838.839	22.92	21.31
730548.7687	3631845.046	27.63	26.03
730549.4487	3631852.613	30.09	28.06
730550.0944	3631860.536	37.41	34.24
730550.4107	3631864.561	24.08	21.73
730551.2908	3631876.574	22.8	19.9
730552.3442	3631884.606	23.9	21.13
730553.6152	3631892.886	23.24	20.49
730554.8948	3631901.305	26.96	23.97
730555.9131	3631909.814	22.96	20.83
730556.834	3631918.394	21.06	19.21
730557.6819	3631926.871	23.87	21.86
730558.6179	3631935.335	24.94	23.35
730559.4591	3631943.822	23.64	22.18
730560.5143	3631952.171	36.69	33.18
730561.5875	3631960.352	42	38.62
730562.6879	3631968.21	35.34	32.07
730563.5566	3631976.013	40.51	37.12
730564.4648	3631983.681	41.58	38.64
730565.3576	3631991.062	35.03	32.48
730566.1707	3631998.404	34.32	31.83
730566.9841	3632005.671	27.2	25.26
730567.6045	3632013.124	24.09	22.74
730568.4654	3632020.702	27.18	25.95
730569.4753	3632028.276	26.49	25.1
730570.3668	3632035.783	28.37	27.24
730571.3289	3632043.19	29.18	27.41
730572.0119	3632050.514	27.73	26.51
730572.7882	3632057.842	29.11	27.14
730573.6164	3632065.342	31.44	30.15
730574.7121	3632072.908	32.77	30.96
730575.5044	3632080.489	30.72	28.94
730576.26	3632088.064	30.32	28.37
730577.0821	3632095.702	29.8	27.38
730578.0051	3632103.452	31.88	29.81
730578.8516	3632111.244	39.32	35.77
730579.6106	3632119.101	54.65	47.41
730580.3079	3632126.708	50.77	44.54
730581.1154	3632134.159	41.1	37.02
730581.9091	3632141.347	34.77	31.35
730582.9292	3632148.423	31.86	28.72
730583.5695	3632155.461	40.44	36.17
730584.4583	3632162.71	41.58	37.95
730585.3428	3632170.138	37.86	34.38
730586.1969	3632177.674	39.55	35.92
730586.9984	3632185.198	37.74	33.84
730587.9651	3632192.692	35.61	32.27
730588.6895	3632200.234	36.33	32.45
730589.5288	3632207.876	38.62	34.57
730590.2587	3632215.515	40.69	36.08
730590.6853	3632222.723	40.47	36.11
730591.3804	3632228.899	35.72	31.25
730594.1015	3632232.646	39.29	35.26
730596.3168	3632233.566	42.75	38.68
730601.4744	3632232.418	47.91	42.51
730605.3607	3632223.762	50.06	45.26
730605.4179	3632219.936	44.42	40.29
730605.393	3632212.069	40.88	37.67
730605.018	3632199.881	43.9	40.63
730604.6924	3632195.82	43.61	39.61
730604.0035	3632187.915	37.55	33.5
730603.1465	3632180.101	36.77	32.95
730602.3594	3632172.118	38.7	35.39
730601.6495	3632164.219	38.48	34.91
730600.4128	3632152.691	37.38	32.97
730600.0203	3632148.856	39.82	35.67
730599.2144	3632141.15	33.72	30.37
730597.8164	3632129.471	39.33	35.23
730597.4139	3632125.578	42.66	38.07
730596.4645	3632117.857	51	43.83
730595.2062	3632106.277	51.65	44.57
730594.8612	3632102.412	40.98	36.42
730593.9963	3632094.596	39.41	35.4
730592.5952	3632082.685	37.37	33.79
730592.1249	3632078.698	34.39	31.46
730591.2312	3632070.808	29.46	26.84
730589.777	3632058.876	29.02	27.1
730589.2577	3632054.864	31.84	30.25
730588.209	3632046.724	30.46	28.74
730586.9724	3632034.407	27.34	25.72
730586.5477	3632030.306	29.82	27.87
730585.6125	3632022.112	26.2	24.29
730584.2212	3632009.913	25.98	24.53
730583.8373	3632005.903	25.05	23.35
